Ethnic Origin,Ontario 2011,Ontario 2016
North American Aboriginal origins,"441,395","518,300"
First Nations (North American Indian),"345,875","385,505"
Inuit,"6,175","6,870"
Métis,"97,040","137,485"
Other North American origins,"3,059,480","3,220,595"
Acadian,"15,175","16,580"
American,"136,505","140,165"
Canadian,"2,946,095","3,109,770"
New Brunswicker,265,320
Newfoundlander,"9,590","10,850"
Nova Scotian,"1,130","1,485"
Ontarian,"2,285","2,165"
Québécois,"6,115","5,390"
European origins,"8,231,410","8,151,470"
British Isles origins,"4,989,725","4,900,430"
Channel Islander,960,"1,120"
Cornish,700,755
English,"2,925,660","2,808,805"
Irish,"2,069,110","2,095,460"
Manx,"1,990","2,450"
Scottish,"2,080,545","2,107,295"
Welsh,"192,645","198,475"
French origins,"1,363,370","1,350,520"
Alsatian,"1,045","1,235"
Breton,340,290
French,"1,362,320","1,349,255"
Western European origins (except French origins),"1,711,125","1,766,975"
Austrian,"68,785","72,475"
Belgian,"52,635","57,890"
Dutch,"508,595","527,750"
Flemish,"4,865","4,005"
Frisian,"2,710","2,705"
German,"1,154,550","1,189,670"
Luxembourger,955,915
Swiss,"57,270","59,835"
Northern European origins (except British Isles origins),"255,555","266,085"
Danish,"53,145","53,555"
Finnish,"74,505","76,755"
Icelandic,"13,130","13,215"
Norwegian,"56,215","59,335"
Swedish,"67,795","71,035"
Eastern European origins,"1,219,960","1,339,610"
Bulgarian,"15,500","16,750"
Byelorussian,"8,785","11,690"
Czech,"39,800","42,340"
Estonian,"14,770","15,075"
Hungarian,"148,960","163,500"
Latvian,"16,320","18,095"
Lithuanian,"29,315","35,100"
Moldovan,"2,645","3,905"
Polish,"475,565","523,490"
Romanian,"85,115","98,235"
Russian,"186,940","220,850"
Slovak,"38,240","40,535"
Ukrainian,"342,005","376,440"
Southern European origins,"1,671,705","1,772,160"
Albanian,"21,175","25,980"
Bosnian,"13,345","14,680"
Croatian,"74,020","82,220"
Cypriot,"3,920","4,400"
Greek,"140,965","148,555"
Italian,"883,990","931,805"
Kosovar,"1,680","1,305"
Macedonian,"34,070","39,440"
Maltese,"33,455","35,255"
Montenegrin,"2,050","2,545"
Portuguese,"295,030","324,930"
Serbian,"56,760","66,835"
Sicilian,"3,200","4,190"
Slovenian,"24,580","26,485"
Spanish,"164,655","171,145"
Other European origins,"196,060","105,865"
Basque,"1,150","1,585"
Jewish,"173,780","77,280"
Roma (Gypsy),"2,855","2,295"
Caribbean origins,"396,485","462,600"
Antiguan,"2,790","3,275"
Bahamian,"1,360","2,305"
Barbadian,"23,380","26,625"
Bermudan,"1,710","2,010"
Carib,"2,430","2,295"
Cuban,"11,675","14,490"
Dominican,"7,085","9,180"
Grenadian,"11,975","14,690"
Haitian,"15,830","17,715"
Jamaican,"218,060","257,060"
Kittitian/Nevisian,"1,870","2,260"
Martinican,200,195
Montserratan,390,620
Puerto Rican,890,"1,495"
St. Lucian,"5,375","7,170"
Trinidadian/Tobagonian,"51,340","59,560"
Vincentian/Grenadinian,"10,105","12,155"
"Latin, Central and South American origins","271,545","322,210"
Argentinian,"9,530","11,460"
Belizean,605,810
Bolivian,"1,575","1,885"
Brazilian,"14,190","18,395"
Chilean,"12,225","14,625"
Colombian,"34,995","40,820"
Costa Rican,"2,960","2,790"
Ecuadorian,"15,965","20,385"
Guatemalan,"8,200","10,040"
Guyanese,"67,045","73,360"
Hispanic,"3,225","5,805"
Honduran,"2,575","3,360"
Maya,"1,860","2,500"
Mexican,"31,690","43,120"
Nicaraguan,"6,080","7,100"
Panamanian,"1,780","2,475"
Paraguayan,665,600
Peruvian,"13,315","14,780"
Salvadorean,"28,765","27,595"
Uruguayan,"3,800","4,200"
Venezuelan,"7,845","11,750"
African origins,"331,460","414,095"
Central and West African origins,"64,975","85,735"
Akan,715,965
Angolan,"1,230","1,635"
Ashanti,770,"1,205"
Beninese,420,555
Burkinabe,130,415
Cameroonian,"2,380","4,700"
Chadian,115,645
Congolese,"7,795","10,425"
Gabonese,70,170
Gambian,260,630
Ghanaian,"22,035","24,850"
Guinean,710,"1,105"
Ibo,"1,685","1,940"
Ivorian,830,"1,350"
Liberian,660,770
Malian,250,490
Nigerian,"20,025","26,560"
Peulh,80,135
Senegalese,630,"1,000"
Sierra Leonean,865,"1,175"
Togolese,485,670
Yoruba,"2,780","4,055"
North African origins,"63,850","86,665"
Algerian,"2,650","4,065"
Berber,"1,520","1,845"
Coptic,"2,445","2,305"
Dinka,85,205
Egyptian,"39,275","52,845"
Libyan,"2,835","3,785"
Maure,295,290
Moroccan,"8,955","12,305"
Sudanese,"7,360","8,975"
Tunisian,"1,470","2,295"
Southern and East African origins,"102,200","128,910"
Afrikaner,575,560
Amhara,545,720
Burundian,"2,405","3,105"
Eritrean,"7,475","11,870"
Ethiopian,"17,325","22,560"
Harari,605,475
Kenyan,"4,820","5,860"
Malagasy,345,430
Mauritian,"2,885","3,600"
Oromo,"1,015","1,290"
Rwandan,"2,235","3,215"
Seychellois,245,350
Somali,"33,970","40,995"
South African,"15,165","19,760"
Tanzanian,"2,185","2,610"
Tigrian,525,770
Ugandan,"2,585","2,950"
Zambian,640,805
Zimbabwean,"3,420","3,425"
Zulu,490,440
Other African origins,"107,540","119,670"
Asian origins,"2,604,590","3,100,450"
West Central Asian and Middle Eastern origins,"399,185","523,340"
Afghan,"40,375","54,535"
Armenian,"24,865","29,675"
Assyrian,"9,420","12,075"
Azerbaijani,"2,685","4,105"
Georgian,"1,730","2,815"
Iranian,"92,635","117,065"
Iraqi,"35,220","50,460"
Israeli,"9,250","17,080"
Jordanian,"5,980","9,660"
Kazakh,765,"1,325"
Kurd,"6,830","9,210"
Kuwaiti,"1,445","1,510"
Lebanese,"73,290","86,245"
Palestinian,"20,130","28,480"
Pashtun,"2,185","3,010"
Saudi Arabian,"3,890","3,660"
Syrian,"16,070","31,440"
Tajik,"1,425","1,850"
Tatar,"1,485","2,135"
Turk,"29,350","34,165"
Uighur,565,755
Uzbek,"1,535","2,400"
Yemeni,"2,730","4,225"
South Asian origins,"1,003,180","1,182,845"
Bangladeshi,"21,490","29,195"
Bengali,"12,040","15,235"
East Indian,"678,465","774,500"
Goan,"4,245","4,775"
Gujarati,"4,635","5,915"
Kashmiri,"1,550","1,795"
Nepali,"4,400","8,150"
Pakistani,"109,295","149,060"
Punjabi,"39,030","55,455"
Sinhalese,"4,960","5,195"
Sri Lankan,"112,465","124,270"
Tamil,"43,450","42,760"
East and Southeast Asian origins,"1,223,480","1,422,890"
Burmese,"3,810","4,420"
Cambodian (Khmer),"12,620","14,655"
Chinese,"713,245","849,345"
Filipino,"295,700","337,760"
Hmong,615,650
Indonesian,"7,615","9,325"
Japanese,"37,910","41,620"
Korean,"82,640","93,420"
Laotian,"9,435","9,875"
Malaysian,"5,910","7,310"
Mongolian,"1,960","2,940"
Singaporean,815,"1,260"
Taiwanese,"8,955","10,060"
Thai,"5,735","6,865"
Tibetan,"4,990","6,365"
Vietnamese,"100,520","107,640"
Other Asian origins,"13,780","13,430"
Oceania origins,"19,410","20,680"
Australian,"12,830","13,315"
New Zealander,"4,180","4,250"
Pacific Islands origins,"2,715","3,490"
Fijian,"1,245","1,610"
Hawaiian,480,470
Maori,285,485
Samoan,130,225